Timestamp,hdc1080,install_box_location,Testo
20:01:53,23.55,in,21.6
20:01:54,23.65,in,21.6
20:01:55,23.57,in,21.6
20:01:55,23.58,in,21.6
20:01:56,23.60,in,21.6
20:01:56,23.55,in,21.6
20:01:57,23.55,in,21.6
20:01:57,23.54,in,21.6
20:01:58,23.61,in,21.6
20:01:59,23.48,in,21.6
20:01:59,23.51,in,21.6
20:02:00,23.60,in,21.6
20:02:00,23.43,in,21.6
20:02:01,23.43,in,21.6
20:02:01,23.48,in,21.6
20:02:02,23.51,in,21.6
20:02:03,23.50,in,21.6
20:02:03,23.58,in,21.6
20:02:04,23.50,in,21.6
20:02:04,23.38,in,21.6
20:02:05,23.51,in,21.6
20:02:05,23.51,in,21.6
20:02:06,23.60,in,21.6
20:02:07,23.47,in,21.6
20:02:07,23.50,in,21.6
20:02:08,23.46,in,21.6
20:02:08,23.58,in,21.6
20:02:09,23.53,in,21.6
20:02:09,23.55,in,21.6
20:02:10,23.43,in,21.6
20:02:11,23.47,in,21.6
20:02:11,23.53,in,21.6
20:02:12,23.50,in,21.6
20:02:12,23.60,in,21.6
20:02:13,23.53,in,21.6
20:02:13,23.58,in,21.6
20:02:14,23.55,in,21.6
20:02:15,23.46,in,21.6
20:02:15,23.39,in,21.6
20:02:16,23.38,in,21.6
20:02:16,23.54,in,21.6
20:02:17,23.55,in,21.6
20:02:17,23.53,in,21.6
20:02:18,23.38,in,21.6
20:02:19,23.54,in,21.6
20:02:19,23.48,in,21.6
20:02:20,23.50,in,21.6
20:02:20,23.53,in,21.6
20:02:21,23.51,in,21.6
20:02:21,23.55,in,21.6
20:02:22,23.55,in,21.6
20:02:23,23.60,in,21.6
20:02:23,23.48,in,21.6
20:02:24,23.38,in,21.6
20:02:24,23.68,in,21.6
20:02:25,23.70,in,21.6
20:02:25,23.50,in,21.6
20:02:26,23.42,in,21.6
20:02:27,23.65,in,21.6
20:02:27,23.54,in,21.6
20:02:28,23.69,in,21.6
20:02:28,23.53,in,21.6
20:02:29,23.50,in,21.6
20:02:30,23.50,in,21.6
20:02:30,23.61,in,21.6
20:02:31,23.32,in,21.6
20:02:31,23.46,in,21.6
20:02:32,23.53,in,21.6
20:02:32,23.48,in,21.6
20:02:33,23.48,in,21.6
20:02:33,23.58,in,21.6
20:02:34,23.70,in,21.6
20:02:35,23.60,in,21.6
20:02:35,23.43,in,21.6
20:02:36,23.57,in,21.6
20:02:36,23.48,in,21.6
20:02:37,23.33,in,21.6
20:02:37,23.65,in,21.6
20:02:38,23.48,in,21.6
20:02:39,23.60,in,21.6
20:02:39,23.51,in,21.6
20:02:40,23.55,in,21.6
20:02:40,23.43,in,21.6
20:02:41,23.43,in,21.6
20:02:42,23.51,in,21.6
20:02:42,23.58,in,21.6
20:02:43,23.48,in,21.6
20:02:43,23.60,in,21.6
20:02:44,23.60,in,21.6
20:02:44,23.55,in,21.6
20:02:45,23.57,in,21.6
20:02:46,23.53,in,21.6
20:02:46,23.69,in,21.6
20:02:47,23.47,in,21.6
20:02:47,23.51,in,21.6
20:02:48,23.53,in,21.6
20:02:48,23.60,in,21.6
20:02:49,23.63,in,21.6
20:02:50,23.38,in,21.6
20:02:50,23.63,in,21.6
20:02:51,23.58,in,21.6
20:02:51,23.50,in,21.6
20:02:52,23.68,in,21.6
20:02:52,23.61,in,21.6
20:02:53,23.61,in,21.6
20:02:54,23.70,in,21.6
20:02:54,23.58,in,21.6
20:02:55,23.63,in,21.6
20:02:55,23.63,in,21.6
20:02:56,23.65,in,21.6
20:02:56,23.68,in,21.6
20:02:57,23.78,in,21.6
20:02:58,23.55,in,21.6
20:02:58,23.55,in,21.6
20:02:59,23.73,in,21.6
20:02:59,23.65,in,21.6
20:03:00,23.51,in,21.6
20:03:00,23.69,in,21.6
20:03:01,23.53,in,21.6
20:03:02,23.55,in,21.6
20:03:02,23.70,in,21.6
20:03:03,23.50,in,21.6
20:03:03,23.63,in,21.6
20:03:04,23.61,in,21.6
20:03:04,23.66,in,21.6
20:03:05,23.69,in,21.6
20:03:06,23.50,in,21.6
20:03:06,23.65,in,21.6
20:03:07,23.68,in,21.6
20:03:07,23.76,in,21.6
20:03:08,23.79,in,21.6
20:03:08,23.60,in,21.6
20:03:09,23.66,in,21.6
20:03:10,23.60,in,21.6
20:03:10,23.65,in,21.6
20:03:11,23.65,in,21.6
20:03:11,23.70,in,21.6
20:03:12,23.78,in,21.6
20:03:12,23.68,in,21.6
20:03:13,23.85,in,21.6
20:03:14,23.80,in,21.6
20:03:14,23.75,in,21.6
20:03:15,23.91,in,21.6
20:03:15,23.75,in,21.6
20:03:16,23.61,in,21.6
20:03:16,23.83,in,21.6
20:03:17,23.87,in,21.6
20:03:18,23.73,in,21.6
20:03:18,23.72,in,21.6
20:03:19,23.84,in,21.6
20:03:19,23.78,in,21.6
20:03:20,23.68,in,21.6
20:03:20,23.58,in,21.6
20:03:21,23.68,in,21.6
20:03:22,23.60,in,21.6
20:03:22,23.72,in,21.6
20:03:23,23.54,in,21.6
20:03:23,23.70,in,21.6
20:03:24,23.63,in,21.6
20:03:24,23.54,in,21.6
20:03:25,23.48,out,21.6
20:03:26,23.61,out,21.6
20:03:26,23.53,out,21.6
20:03:27,23.60,out,21.6
20:03:27,23.57,out,21.6
20:03:28,23.55,out,21.6
20:03:28,23.61,out,21.6
20:03:29,23.60,out,21.6
20:03:30,23.54,out,21.6
20:03:30,23.60,out,21.6
20:03:31,23.32,out,21.6
20:03:31,23.46,out,21.6
20:03:32,23.31,out,21.6
20:03:32,23.38,out,21.6
20:03:33,23.39,out,21.6
20:03:34,23.33,out,21.6
20:03:34,23.36,out,21.6
20:03:35,23.23,out,21.6
20:03:35,23.46,out,21.6
20:03:36,23.42,out,21.6
20:03:36,23.28,out,21.6
20:03:37,23.22,out,21.6
20:03:38,23.23,out,21.6
20:03:38,23.17,out,21.6
20:03:39,23.32,out,21.6
20:03:39,23.36,out,21.6
20:03:40,23.17,out,21.6
20:03:40,23.15,out,21.6
20:03:41,23.16,out,21.6
20:03:42,23.05,out,21.6
20:03:42,23.13,out,21.6
20:03:43,22.97,out,21.6
20:03:43,23.20,out,21.6
20:03:44,23.16,out,21.6
20:03:44,23.00,out,21.6
20:03:45,23.09,out,21.6
20:03:46,23.13,out,21.6
20:03:46,23.12,out,21.6
20:03:47,23.10,out,21.6
20:03:47,23.17,out,21.6
20:03:48,23.05,out,21.6
20:03:49,23.05,out,21.6
20:03:49,22.97,out,21.6
20:03:50,23.00,out,21.6
20:03:50,23.09,out,21.6
20:03:51,22.91,out,21.6
20:03:51,23.07,out,21.6
20:03:52,22.82,out,21.6
20:03:52,23.00,out,21.6
20:03:53,22.83,out,21.6
20:03:54,22.98,out,21.6
20:03:54,22.77,out,21.6
20:03:55,22.82,out,21.6
20:03:55,22.83,out,21.6
20:03:56,22.77,out,21.6
20:03:57,22.91,out,21.6
20:03:57,22.77,out,21.6
20:03:58,23.01,out,21.6
20:03:58,22.97,out,21.6
20:03:59,23.02,out,21.6
20:03:59,22.80,out,21.6
20:04:00,22.92,out,21.6
20:04:01,22.88,out,21.6
20:04:01,22.72,out,21.6
20:04:02,22.73,out,21.6
20:04:02,22.70,out,21.6
20:04:03,22.79,out,21.6
20:04:03,22.77,out,21.6
20:04:04,22.70,out,21.6
20:04:05,22.72,out,21.6
20:04:05,22.64,out,21.6
20:04:06,22.82,out,21.6
20:04:06,22.68,out,21.6
20:04:07,22.65,out,21.6
20:04:07,22.83,out,21.6
20:04:08,22.67,out,21.6
20:04:09,22.72,out,21.6
20:04:09,22.86,out,21.6
20:04:10,22.64,out,21.6
20:04:10,22.61,out,21.6
20:04:11,22.72,out,21.6
20:04:11,22.64,out,21.6
20:04:12,22.62,out,21.6
20:04:13,22.73,out,21.6
20:04:13,22.61,out,21.6
20:04:14,22.60,out,21.6
20:04:14,22.75,out,21.6
20:04:15,22.55,out,21.6
20:04:15,22.67,out,21.6
20:04:16,22.65,out,21.6
20:04:17,22.58,out,21.6
20:04:17,22.70,out,21.6
20:04:18,22.57,out,21.6
20:04:18,22.57,out,21.6
20:04:19,22.70,out,21.6
20:04:19,22.60,out,21.6
20:04:20,22.54,out,21.6
20:04:21,22.47,out,21.6
20:04:21,22.61,out,21.6
20:04:22,22.46,out,21.6
20:04:22,22.45,out,21.6
20:04:23,22.54,out,21.6
20:04:23,22.47,out,21.6
20:04:24,22.62,out,21.6
20:04:25,22.55,out,21.6
20:04:25,22.33,out,21.6
20:04:26,22.40,out,21.6
20:04:26,22.52,out,21.6
20:04:27,22.37,out,21.6
20:04:27,22.42,out,21.6
20:04:28,22.39,out,21.6
20:04:29,22.37,out,21.6
20:04:29,22.42,out,21.6
20:04:30,22.36,out,21.6
20:04:30,22.47,out,21.6
20:04:31,22.60,out,21.6
20:04:31,22.45,out,21.6
20:04:32,22.42,out,21.6
20:04:33,22.31,out,21.6
20:04:33,22.39,out,21.6
20:04:34,22.54,out,21.6
20:04:34,22.36,out,21.6
20:04:35,22.33,out,21.6
20:04:35,22.21,out,21.6
20:04:36,22.33,out,21.6
20:04:37,22.21,out,21.6
20:04:37,22.10,out,21.6
20:04:38,22.45,out,21.6
20:04:38,22.33,out,21.6
20:04:39,22.37,out,21.6
20:04:39,22.37,out,21.6
20:04:40,22.18,out,21.6
20:04:41,22.24,out,21.6
20:04:41,22.36,out,21.6
20:04:42,22.33,out,21.6
20:04:42,22.33,out,21.6
20:04:43,22.22,out,21.6
20:04:43,22.30,out,21.6
20:04:44,22.33,out,21.6
20:04:45,22.33,out,21.6
20:04:45,22.22,out,21.6
20:04:46,22.35,out,21.6
20:04:46,22.31,out,21.6
20:04:47,22.27,out,21.6
20:04:47,22.31,out,21.6
20:04:48,22.24,out,21.6
20:04:49,22.28,out,21.6
20:04:49,22.35,out,21.6
20:04:50,22.36,out,21.6
20:04:50,22.20,out,21.6
20:04:51,22.21,out,21.6
20:04:51,22.24,out,21.6
20:04:52,22.14,out,21.6
20:04:53,22.09,out,21.6
20:04:53,22.25,out,21.6
20:04:54,22.09,out,21.6
20:04:54,22.17,out,21.6
20:04:55,22.27,out,21.6
20:04:55,22.18,out,21.6
20:04:56,22.25,out,21.6
20:04:57,22.21,out,21.6
20:04:57,22.30,out,21.6
20:04:58,22.35,out,21.6
20:04:58,22.07,out,21.6
20:04:59,22.39,out,21.6
20:04:59,22.24,out,21.6
20:05:00,22.15,out,21.6
20:05:01,22.27,out,21.6
20:05:01,22.21,out,21.6
20:05:02,22.10,out,21.6
20:05:02,22.15,out,21.6
20:05:03,22.24,out,21.6
20:05:03,22.15,out,21.6
20:05:04,22.18,out,21.6
20:05:05,22.10,out,21.6
20:05:05,22.25,out,21.6
20:05:06,22.15,out,21.6
20:05:06,22.07,out,21.6
20:05:07,22.17,out,21.6
20:05:08,22.15,out,21.6
20:05:08,22.02,out,21.6
20:05:09,22.27,out,21.6
20:05:09,22.31,out,21.6
20:05:10,22.07,out,21.6
20:05:10,22.17,out,21.6
20:05:11,22.10,out,21.6
20:05:12,22.28,out,21.6
20:05:12,22.03,out,21.6
20:05:13,22.06,out,21.6
20:05:13,21.94,out,21.6
20:05:14,22.21,out,21.6
20:05:14,22.21,out,21.6
20:05:15,22.18,out,21.6
20:05:16,22.09,out,21.6
20:05:16,22.22,out,21.6
20:05:17,22.03,out,21.6
20:05:17,21.99,out,21.6
20:05:18,22.03,out,21.6
20:05:18,22.10,out,21.6
20:05:19,22.15,out,21.6
20:05:20,22.12,out,21.6
20:05:20,22.22,out,21.6
20:05:21,22.06,out,21.6
20:05:21,22.10,out,21.6
20:05:22,22.22,out,21.6
20:05:22,22.05,out,21.6
20:05:23,22.09,out,21.6
20:05:24,22.17,out,21.6
20:05:24,21.94,out,21.6
20:05:25,22.20,out,21.6
20:05:25,22.06,out,21.6
20:05:26,22.14,out,21.6
20:05:26,22.00,out,21.6
20:05:27,22.09,out,21.6
20:05:28,22.06,out,21.6
20:05:28,22.07,out,21.6
20:05:29,22.05,out,21.6
20:05:29,22.06,out,21.6
20:05:30,21.98,out,21.6
20:05:30,22.05,out,21.6
20:05:31,22.24,out,21.6
20:05:32,22.09,out,21.6
20:05:32,22.09,out,21.6
20:05:33,22.20,out,21.6
20:05:33,22.14,out,21.6
20:05:34,22.09,out,21.6
20:05:34,22.00,out,21.6
20:05:35,22.09,out,21.6
20:05:36,21.96,out,21.6
20:05:36,22.06,out,21.6
20:05:37,21.91,out,21.6
20:05:37,22.10,out,21.6
20:05:38,22.00,out,21.6
20:05:38,22.00,out,21.6
20:05:39,21.96,out,21.6
20:05:40,22.14,out,21.6
20:05:40,22.17,out,21.6
20:05:41,22.17,out,21.6
20:05:41,22.06,out,21.6
20:05:42,22.00,out,21.6
20:05:42,21.84,out,21.6
20:05:43,21.82,out,21.6
20:05:44,22.06,out,21.6
20:05:44,21.99,out,21.6
20:05:45,21.98,out,21.6
20:05:45,21.91,out,21.6
20:05:46,21.87,out,21.6
20:05:46,21.91,out,21.6
20:05:47,21.98,out,21.6
20:05:48,21.75,out,21.6
20:05:48,21.84,out,21.6
20:05:49,21.94,out,21.6
20:05:49,21.83,out,21.6
20:05:50,22.00,out,21.6
20:05:50,22.10,out,21.6
20:05:51,21.86,out,21.6
20:05:52,22.02,out,21.6
20:05:52,21.91,out,21.6
20:05:53,22.09,out,21.6
20:05:53,22.02,out,21.6
20:05:54,22.00,out,21.6
20:05:54,21.99,out,21.6
20:05:55,21.91,out,21.6
20:05:56,21.98,out,21.6
20:05:56,21.96,out,21.6
20:05:57,21.68,out,21.6
20:05:57,22.02,out,21.6
20:05:58,21.86,out,21.6
20:05:58,22.00,out,21.6
20:05:59,21.92,out,21.6
20:06:00,21.99,out,21.6
20:06:00,21.91,out,21.6
20:06:01,21.94,out,21.6
20:06:01,21.94,out,21.6
20:06:02,21.84,out,21.6
20:06:02,21.91,out,21.6
20:06:03,21.90,out,21.6
20:06:04,22.07,out,21.6
20:06:04,21.96,out,21.6
20:06:05,21.84,out,21.6
20:06:05,21.91,out,21.6
20:06:06,22.07,out,21.6
20:06:06,22.03,out,21.6
20:06:07,22.00,out,21.6
20:06:08,21.94,out,21.6
20:06:08,21.98,out,21.6
20:06:09,22.06,out,21.6
20:06:09,21.86,out,21.6
20:06:10,21.99,out,21.6
20:06:10,22.10,out,21.6
20:06:11,21.77,out,21.6
20:06:12,21.94,out,21.6
20:06:12,21.82,out,21.6
20:06:13,21.99,out,21.6
20:06:13,21.84,out,21.6
20:06:14,21.91,out,21.6
20:06:14,22.00,out,21.6
20:06:15,21.91,out,21.6
20:06:16,21.84,out,21.6
20:06:16,21.72,out,21.6
20:06:17,21.84,out,21.6
20:06:17,21.82,out,21.6
20:06:18,21.86,out,21.6
20:06:18,21.84,out,21.6
20:06:19,21.84,out,21.6
20:06:20,21.83,out,21.6
20:06:20,21.87,out,21.6
20:06:21,21.84,out,21.6
20:06:21,22.05,out,21.6
20:06:22,21.94,out,21.6
20:06:22,21.87,out,21.6
20:06:23,21.83,out,21.6
20:06:24,21.87,out,21.6
